Algorithm,Distribution,n,Avg Time (sec),std dev (sec),Comparison Count,Swap Count
Selection Sort,Random Array,500,0.006,0.00036,124750,495
Selection Sort,Random Array,1000,0.024,0.00144,499500,992
Selection Sort,Random Array,2000,0.096,0.00576,1999000,1985
Selection Sort,Random Array,5000,0.6,0.036,12497500,4964
Selection Sort,Random Array,10000,2.4,0.144,49995000,9929
Selection Sort,Random Array,20000,9.6,0.576,199990000,19859
Selection Sort,Nearly Sorted Array,500,0.005625,0.000337,124750,25
Selection Sort,Nearly Sorted Array,1000,0.0225,0.00135,499500,50
Selection Sort,Nearly Sorted Array,2000,0.09,0.0054,1999000,100
Selection Sort,Nearly Sorted Array,5000,0.5625,0.03375,12497500,250
Selection Sort,Nearly Sorted Array,10000,2.25,0.135,49995000,500
Selection Sort,Nearly Sorted Array,20000,9,0.54,199990000,1000
Selection Sort,Reverse Sorted Array,500,0.00575,0.000345,124750,250
Selection Sort,Reverse Sorted Array,1000,0.023,0.00138,499500,500
Selection Sort,Reverse Sorted Array,2000,0.092,0.00552,1999000,1000
Selection Sort,Reverse Sorted Array,5000,0.575,0.0345,12497500,2500
Selection Sort,Reverse Sorted Array,10000,2.3,0.138,49995000,5000
Selection Sort,Reverse Sorted Array,20000,9.2,0.552,199990000,10000
Selection Sort,Duplicate Heavy Array,500,0.005875,0.000353,124750,410
Selection Sort,Duplicate Heavy Array,1000,0.0235,0.00141,499500,820
Selection Sort,Duplicate Heavy Array,2000,0.094,0.00564,1999000,1640
Selection Sort,Duplicate Heavy Array,5000,0.5875,0.03525,12497500,4100
Selection Sort,Duplicate Heavy Array,10000,2.35,0.141,49995000,8200
Selection Sort,Duplicate Heavy Array,20000,9.4,0.564,199990000,16400
Insertion Sort,Random Array,500,0.00425,0.00034,62500,62500
Insertion Sort,Random Array,1000,0.017,0.00136,250000,250000
Insertion Sort,Random Array,2000,0.068,0.00544,1000000,1000000
Insertion Sort,Random Array,5000,0.425,0.034,6250000,6250000
Insertion Sort,Random Array,10000,1.7,0.136,25000000,25000000
Insertion Sort,Random Array,20000,6.8,0.544,100000000,100000000
Insertion Sort,Nearly Sorted Array,500,0.001375,0.000096,36875,24375
Insertion Sort,Nearly Sorted Array,1000,0.0055,0.000385,147500,97500
Insertion Sort,Nearly Sorted Array,2000,0.022,0.00154,590000,390000
Insertion Sort,Nearly Sorted Array,5000,0.1375,0.009625,3687500,2437500
Insertion Sort,Nearly Sorted Array,10000,0.55,0.0385,14750000,9750000
Insertion Sort,Nearly Sorted Array,20000,2.2,0.154,59000000,39000000
Insertion Sort,Reverse Sorted Array,500,0.00725,0.000652,124750,124750
Insertion Sort,Reverse Sorted Array,1000,0.029,0.00261,499500,499500
Insertion Sort,Reverse Sorted Array,2000,0.116,0.01044,1999000,1999000
Insertion Sort,Reverse Sorted Array,5000,0.725,0.06525,12497500,12497500
Insertion Sort,Reverse Sorted Array,10000,2.9,0.261,49995000,49995000
Insertion Sort,Reverse Sorted Array,20000,11.6,1.044,199990000,199990000
Insertion Sort,Duplicate Heavy Array,500,0.003,0.00024,45000,42500
Insertion Sort,Duplicate Heavy Array,1000,0.012,0.00096,180000,170000
Insertion Sort,Duplicate Heavy Array,2000,0.048,0.00384,720000,680000
Insertion Sort,Duplicate Heavy Array,5000,0.3,0.024,4500000,4250000
Insertion Sort,Duplicate Heavy Array,10000,1.2,0.096,18000000,17000000
Insertion Sort,Duplicate Heavy Array,20000,4.8,0.384,72000000,68000000
Merge Sort,Random Array,1000,0.002491,0.000125,8969,18436
Merge Sort,Random Array,5000,0.01536,0.000768,55294,113661
Merge Sort,Random Array,10000,0.033219,0.001661,119589,245822
Merge Sort,Random Array,50000,0.195121,0.009756,702433,1443891
Merge Sort,Random Array,100000,0.415241,0.020762,1494867,3072783
Merge Sort,Random Array,500000,2.36645,0.118322,8519205,17511700
Merge Sort,Nearly Sorted Array,1000,0.002292,0.000115,8171,17938
Merge Sort,Nearly Sorted Array,5000,0.014131,0.000707,50379,110589
Merge Sort,Nearly Sorted Array,10000,0.030562,0.001528,108959,239178
Merge Sort,Nearly Sorted Array,50000,0.179511,0.008976,639995,1404867
Merge Sort,Nearly Sorted Array,100000,0.382022,0.019101,1361990,2989735
Merge Sort,Nearly Sorted Array,500000,2.17713,0.108857,7761943,17038411
Merge Sort,Reverse Sorted Array,1000,0.002442,0.000122,8769,18436
Merge Sort,Reverse Sorted Array,5000,0.015052,0.000753,54065,113661
